User;Age 
179214;4
179213;4
179212;3
179208;1
179207;0
179206;0
179201;1
179193;0
179345;0
179187;0
179184;1
179179;0
179175;0
179172;1
179170;0
179167;-1
179164;3
179160;1
179157;1
179152;3
179150;0
179147;2
179146;1
179145;2
179141;1
179139;1
179138;0
179137;0
179136;1
179129;0
180003;0
179126;1
179119;0
179118;0
179113;0
179110;0
179109;0
179108;0
179101;1
179100;2
179098;0
179095;0
179094;0
179089;0
179087;1
179085;1
179084;0
179081;1
179079;2
179077;1
179075;0
179072;0
179070;0
179062;0
179060;0
179059;0
179055;0
179051;0
179049;0
179046;3
179043;0
179039;0
179036;0
179035;0
179025;0
179017;0
179015;0
179013;0
179011;0
179009;0
179003;0
178990;0
178989;0
178986;0
178980;0
178978;1
178977;2
178976;0
178972;0
178965;0
178963;1
178962;0
178960;0
178954;1
178953;0
178951;0
178948;0
178947;0
178946;-1
178943;0
178939;0
178934;0
178933;0
178927;-1
178926;0
178925;0
178924;1
178920;0
178916;0
178905;0
178899;1
178894;0
178893;0
178892;3
178891;1
178889;0
178885;0
178877;0
178876;0
178871;0
178864;0
178857;0
178855;0
178847;-2
178843;0
178842;1
178839;0
178838;1
178833;0
178829;0
178820;0
178812;0
178806;0
178803;0
178797;0
178788;1
178779;0
178764;0
178762;0
178758;0
178757;0
178752;2
178751;0
178748;2
178744;0
178743;2
178742;0
178738;0
178734;0
178730;0
178723;0
178722;0
178714;0
178711;0
178710;0
178705;0
178702;1
178701;1
178697;2
178695;1
178687;0
178685;0
178684;0
178676;0
178673;1
178671;0
178670;0
178666;0
178660;1
178655;0
178642;0
178637;0
178634;0
178631;0
178624;0
178622;0
178619;0
178611;0
178608;1
178601;0
178600;0
178597;6
178588;3
178587;0
178586;0
178585;0
178584;0
178579;0
178576;0
178575;0
178574;0
178570;1
178566;0
178565;0
178564;0
178563;0
178562;0
178561;0
178560;0
178559;0
178555;0
178553;0
178551;0
178550;0
178548;1
178546;0
178545;0
178537;0
178535;0
178531;1
178529;0
178523;0
178519;0
178517;2
178514;0
178513;-1
178507;0
178503;0
178495;0
178494;2
178493;0
178492;3
178475;0
178474;1
180209;0
178473;0
178468;1
178465;0
178464;0
178459;5
180217;0
178457;3
178456;0
178454;3
178450;0
178448;0
178446;0
178444;0
178443;0
178441;0
178434;1
178431;-3
178430;0
178428;0
178424;0
178423;1
178419;4
178418;1
178414;0
178413;0
178411;0
178408;1
178402;0
178395;-1
178391;0
178389;0
178381;0
178380;0
178379;2
178378;1
178371;2
178370;0
178368;0
178364;6
178355;0
178338;0
178337;0
178334;1
178332;1
