Post;Up;Down;Total
810;1;0;1
811;2;0;2
812;2;0;2
813;1;0;1
814;1;0;1
815;5;0;5
817;0;3;-3
818;2;0;2
819;2;0;2
820;1;0;1
821;4;0;4
822;2;0;2
823;5;0;5
824;4;0;4
825;2;0;2
827;7;0;7
828;10;0;10
829;3;0;3
830;1;0;1
831;0;1;-1
832;3;0;3
833;1;0;1
835;6;0;6
836;2;0;2
838;2;0;2
839;6;0;6
840;2;0;2
841;4;0;4
843;8;0;8
844;3;0;3
845;1;0;1
848;1;0;1
849;8;0;8
851;2;0;2
854;1;0;1
855;1;0;1
856;4;0;4
857;3;0;3
858;8;0;8
859;3;0;3
860;1;0;1
861;3;0;3
862;1;0;1
863;2;0;2
864;13;0;13
865;1;0;1
866;2;0;2
868;4;0;4
869;12;0;12
870;1;0;1
871;9;4;5
872;7;0;7
873;12;0;12
874;1;0;1
875;2;0;2
876;5;0;5
877;8;0;8
878;1;0;1
879;3;0;3
880;1;0;1
882;1;0;1
884;8;0;8
885;3;0;3
886;4;0;4
887;7;0;7
888;3;0;3
889;2;0;2
890;1;0;1
891;3;0;3
892;0;3;-3
893;1;0;1
894;2;0;2
895;1;0;1
897;1;0;1
898;5;0;5
899;1;0;1
901;11;0;11
902;6;1;5
903;15;1;14
904;2;0;2
905;1;0;1
906;13;0;13
907;6;0;6
909;1;0;1
911;2;0;2
912;12;0;12
914;0;4;-4
915;2;0;2
917;2;2;0
918;1;0;1
919;5;0;5
920;1;0;1
921;1;1;0
922;2;1;1
923;2;1;1
924;1;0;1
925;12;0;12
926;1;1;0
927;1;0;1
928;3;0;3
929;2;0;2
930;2;0;2
931;1;0;1
933;1;0;1
934;2;0;2
936;1;0;1
937;1;1;0
938;1;0;1
939;5;0;5
941;5;0;5
942;2;0;2
943;1;0;1
944;4;0;4
945;6;0;6
946;2;0;2
947;2;0;2
948;1;0;1
950;1;0;1
953;2;0;2
954;5;0;5
955;1;0;1
958;1;0;1
960;4;0;4
961;1;0;1
962;2;0;2
964;6;0;6
968;4;0;4
969;1;1;0
970;2;0;2
971;4;0;4
972;3;0;3
977;1;0;1
979;1;0;1
980;1;0;1
981;1;0;1
982;5;0;5
983;1;0;1
984;2;0;2
985;5;0;5
986;2;0;2
987;1;0;1
988;3;0;3
989;0;1;-1
990;11;0;11
991;5;0;5
992;1;0;1
994;5;0;5
995;2;0;2
996;1;0;1
997;1;0;1
998;2;0;2
999;4;0;4
1000;5;0;5
1002;3;0;3
1003;10;0;10
1004;2;0;2
1007;18;0;18
1008;25;0;25
1009;14;0;14
1011;2;0;2
1014;1;0;1
1015;2;0;2
1019;1;0;1
1020;2;0;2
1021;2;0;2
1023;5;0;5
1024;3;0;3
1025;8;0;8
1027;5;0;5
1028;6;0;6
1029;2;0;2
1030;5;0;5
1031;11;0;11
1032;2;0;2
1033;1;0;1
1034;3;1;2
1035;1;0;1
1036;3;0;3
1037;15;0;15
1038;25;0;25
1039;16;0;16
1041;1;0;1
1042;11;0;11
1043;2;0;2
1046;1;0;1
1048;2;0;2
1050;3;0;3
1051;10;0;10
1052;2;0;2
1053;2;0;2
1054;2;0;2
1055;1;0;1
1056;2;0;2
1057;3;0;3
1058;13;0;13
1059;21;0;21
1060;21;0;21
1061;13;0;13
1062;1;0;1
1063;3;0;3
1064;5;1;4
