Post;Score 
807 ; 145
808 ; 6674
810 ; 242
811 ; 271
812 ; 130
813 ; 1758
814 ; 120
815 ; 101
816 ; 935
817 ; 101
819 ; 118
821 ; 483
822 ; 4338
823 ; 427
824 ; 327
825 ; 563
826 ; 101
827 ; 101
828 ; 311
829 ; 567
830 ; 334
831 ; 129
832 ; 123
833 ; 259
834 ; 111
835 ; 530
836 ; 101
837 ; 429
838 ; 101
840 ; 101
841 ; 174
842 ; 101
843 ; 1305
844 ; 101
845 ; 141
846 ; 5382
847 ; 1315
848 ; 101
849 ; 318
850 ; 441
851 ; 101
852 ; 205
853 ; 101
854 ; 336
855 ; 148
856 ; 101
857 ; 366
858 ; 234
859 ; 321
860 ; 101
861 ; 101
863 ; 121
864 ; 133
865 ; 101
866 ; 220
867 ; 101
868 ; 163
873 ; 110
875 ; 260
877 ; 389
878 ; 101
879 ; 133
880 ; 570
881 ; 241
882 ; 101
883 ; 248
884 ; 143
885 ; 101
886 ; 111
887 ; 1847
888 ; 399
889 ; 1180
891 ; 1065
892 ; 1251
893 ; 268
894 ; 101
895 ; 138
896 ; 101
897 ; 101
898 ; 101
899 ; 101
901 ; 101
902 ; 57
903 ; 155
904 ; 191
905 ; 563
906 ; 1109
907 ; 322
908 ; 101
909 ; 101
910 ; 924
911 ; 231
912 ; 274
913 ; 176
914 ; 5096
915 ; 177
916 ; 388
917 ; 8
918 ; 101
919 ; 7421
920 ; 465
921 ; 256
924 ; 173
925 ; 101
926 ; 101
929 ; 165
930 ; 101
931 ; 492
932 ; 101
934 ; 282
935 ; 101
936 ; 263
937 ; 220
938 ; 267
939 ; 370
940 ; 168
941 ; 101
942 ; 2617
943 ; 48
944 ; 128
945 ; 136
946 ; 101
947 ; 111
948 ; 101
949 ; 198
951 ; 101
952 ; 101
953 ; 101
954 ; 128
955 ; 113
956 ; 153
957 ; 113
958 ; 1187
959 ; 207
960 ; 111
961 ; 101
962 ; 161
963 ; 340
964 ; 101
965 ; 221
966 ; 1561
968 ; 126
969 ; 114
970 ; 101
971 ; 101
972 ; 101
973 ; 563
975 ; 181
976 ; 121
977 ; 401
978 ; 56
979 ; 101
980 ; 101
981 ; 461
982 ; 239
983 ; 153
984 ; 83322
985 ; 520
986 ; 101
987 ; 136
988 ; 173
989 ; 101
990 ; 101
991 ; 525
992 ; 101
993 ; 1527
994 ; 101
995 ; 757
996 ; 101
997 ; 116
998 ; 131
999 ; 272
1000 ; 111
1001 ; 111
1002 ; 140
1003 ; 240
1004 ; 521
1005 ; 121
1006 ; 1045
1007 ; 121
1008 ; 616
1011 ; 153
1012 ; 105
1013 ; 101
1014 ; 176
1015 ; 101
1017 ; 167
1018 ; 171
1019 ; 298
1020 ; 242
1022 ; 379
1024 ; 131
1025 ; 108
1026 ; 131
1027 ; 111
1028 ; 161
1029 ; 101
1030 ; 653
1031 ; 218
1032 ; 318
1033 ; 131
1034 ; 103
1036 ; 196
1037 ; 156
1038 ; 101
1039 ; 587
1040 ; 101
1041 ; 875
1042 ; 100
1043 ; 220
1044 ; 981
1045 ; 143
1046 ; 181
1047 ; 793
1049 ; 127
1050 ; 155
1051 ; 101
1052 ; 111
1053 ; 187
1054 ; 31449
1055 ; 101
1058 ; 117
1059 ; 859
1061 ; 101
1063 ; 95
1064 ; 111
1065 ; 151
1066 ; 101
1067 ; 744
1068 ; 512
1069 ; 431
1070 ; 948
1071 ; 1776
1072 ; 412
1074 ; 108
1075 ; 131
1076 ; 156
1077 ; 101
1078 ; 1036
1079 ; 1440
1080 ; 101
1081 ; 398
1082 ; 742
1083 ; 113
1084 ; 101
1085 ; 185
1086 ; 270
1087 ; 544
1090 ; 101
1091 ; 101
1092 ; 634
1093 ; 193
1094 ; 581
1095 ; 101
1096 ; 101
1097 ; 61
1098 ; 217
1100 ; 101
1101 ; 3764
1102 ; 456
1103 ; 101
1104 ; 330
1106 ; 639
1107 ; 535
1108 ; 174
1109 ; 103
1110 ; 118
1113 ; 121
1114 ; 121
1115 ; 902
1116 ; 101
1118 ; 126
1120 ; 101
1121 ; 768
1122 ; 1049
1123 ; 103
1124 ; 133
1125 ; 141
1126 ; 455
1127 ; 781
1128 ; 122
1129 ; 861
1130 ; 128
1131 ; 1307
1132 ; 121
1133 ; 101
1134 ; 2789
1135 ; 926
1136 ; 443
1138 ; 126
1139 ; 101
1140 ; 380
1141 ; 507
1143 ; 273
1145 ; 150
1146 ; 274
1147 ; 139
1148 ; 101
1149 ; 100
1150 ; 801
1151 ; 186
1152 ; 101
1153 ; 547
1154 ; 1129
1155 ; 2621
1156 ; 666
1158 ; 101
1159 ; 224
1160 ; 131
1161 ; 108
1162 ; 206
1164 ; 354
1165 ; 101
1166 ; 521
1167 ; 692
1168 ; 641
1169 ; 121
1170 ; 135
1171 ; 278
1172 ; 2040
1173 ; 1559
1174 ; 818
1175 ; 101
1176 ; 271
1177 ; 134
1178 ; 215
1179 ; 110
1180 ; 363
1181 ; 1023
1182 ; 136
1183 ; 101
1184 ; 101
1185 ; 225
1186 ; 284
1187 ; 227
1188 ; 193
1189 ; 967
1190 ; 1006
1192 ; 565
1193 ; 108
1194 ; 250
1195 ; 101
1196 ; 141
1198 ; 101
1199 ; 101
1200 ; 364
1202 ; 504
1203 ; 101
1204 ; 186
1205 ; 976
1206 ; 131
1207 ; 146
1209 ; 101
1210 ; 7827
1211 ; 101
1214 ; 101
1215 ; 391
1216 ; 163
1217 ; 101
1218 ; 1394
1219 ; 431
1220 ; 269
1221 ; 154
1222 ; 2632
1223 ; 793
1224 ; 706
1225 ; 26
1226 ; 111
1227 ; 133
1228 ; 106
1229 ; 205
1230 ; 141
1231 ; 166
1232 ; 3744
1233 ; 5309
1235 ; 213
1236 ; 101
1237 ; 319
1238 ; 101
1239 ; 128
1240 ; 101
1241 ; 673
1242 ; 261
1243 ; 255
1244 ; 101
1245 ; 122
1246 ; 1750
1247 ; 892
1248 ; 587
1249 ; 762
1250 ; 133
1251 ; 101
1252 ; 106
1253 ; 101
1254 ; 101
1255 ; 126
1256 ; 137
1257 ; 170
1258 ; 101
1259 ; 101
1260 ; 250
1262 ; 139
1263 ; 282
1264 ; 125
1265 ; 101
1266 ; 111
1267 ; 167
1268 ; 1284
1269 ; 299
1270 ; 101
1271 ; 598
1272 ; 108
1273 ; 101
1274 ; 111
1275 ; 101
1276 ; 3777
1277 ; 759
1278 ; 121
1279 ; 359
1280 ; 121
1281 ; 461
1283 ; 238
1285 ; 196
1286 ; 215
1287 ; 106
1288 ; 208
1289 ; 123
1290 ; 101
1291 ; 101
1292 ; 113
1293 ; 34971
1294 ; 504
1295 ; 103
1296 ; 101
1297 ; 111
